data,valor_brl,valor_usd,commodity,regiao,__fonte__
2006-03-13,15.21,7.13,MILHO,BRASIL,CEPEA
2006-03-13,25.67,12.03,SOJA,PR,CEPEA
2006-03-13,27.66,12.96,SOJA,PRG,CEPEA
2006-03-14,15.08,7.09,MILHO,BRASIL,CEPEA
2006-03-14,25.25,11.88,SOJA,PR,CEPEA
2006-03-14,27.45,12.91,SOJA,PRG,CEPEA
2006-03-15,14.62,6.89,MILHO,BRASIL,CEPEA
2006-03-15,25.14,11.85,SOJA,PR,CEPEA
2006-03-15,27.58,13.00,SOJA,PRG,CEPEA
2006-03-16,14.19,6.73,MILHO,BRASIL,CEPEA
2006-03-16,24.86,11.78,SOJA,PR,CEPEA
2006-03-16,26.97,12.78,SOJA,PRG,CEPEA
2006-03-17,14.30,6.73,MILHO,BRASIL,CEPEA
2006-03-17,24.84,11.68,SOJA,PR,CEPEA
2006-03-17,26.96,12.68,SOJA,PRG,CEPEA
2006-03-20,14.32,6.66,MILHO,BRASIL,CEPEA
2006-03-20,25.10,11.68,SOJA,PR,CEPEA
2006-03-20,27.36,12.73,SOJA,PRG,CEPEA
2006-03-21,14.09,6.48,MILHO,BRASIL,CEPEA
2006-03-21,25.12,11.55,SOJA,PR,CEPEA
2006-03-21,27.55,12.67,SOJA,PRG,CEPEA
2006-03-22,13.74,6.38,MILHO,BRASIL,CEPEA
2006-03-22,25.24,11.73,SOJA,PR,CEPEA
2006-03-22,27.84,12.94,SOJA,PRG,CEPEA
2006-03-23,13.77,6.37,MILHO,BRASIL,CEPEA
2006-03-23,25.24,11.67,SOJA,PR,CEPEA
2006-03-23,27.82,12.87,SOJA,PRG,CEPEA
2006-03-24,13.70,6.36,MILHO,BRASIL,CEPEA
2006-03-24,25.30,11.75,SOJA,PR,CEPEA
2006-03-24,27.91,12.96,SOJA,PRG,CEPEA
2006-03-27,13.50,6.22,MILHO,BRASIL,CEPEA
2006-03-27,25.67,11.83,SOJA,PR,CEPEA
2006-03-27,28.48,13.12,SOJA,PRG,CEPEA
2006-03-28,13.50,6.11,MILHO,BRASIL,CEPEA
2006-03-28,25.99,11.77,SOJA,PR,CEPEA
2006-03-28,28.70,12.99,SOJA,PRG,CEPEA
2006-03-29,13.44,6.07,MILHO,BRASIL,CEPEA
2006-03-29,26.14,11.81,SOJA,PR,CEPEA
2006-03-29,28.69,12.96,SOJA,PRG,CEPEA
2006-03-30,13.32,6.08,MILHO,BRASIL,CEPEA
2006-03-30,25.97,11.86,SOJA,PR,CEPEA
2006-03-30,28.33,12.94,SOJA,PRG,CEPEA
2006-03-31,13.33,6.16,MILHO,BRASIL,CEPEA
2006-03-31,25.57,11.81,SOJA,PR,CEPEA
2006-03-31,27.54,12.72,SOJA,PRG,CEPEA
2006-04-03,13.34,6.24,MILHO,BRASIL,CEPEA
2006-04-03,24.88,11.63,SOJA,PR,CEPEA
2006-04-03,26.96,12.61,SOJA,PRG,CEPEA
2006-04-04,13.38,6.27,MILHO,BRASIL,CEPEA
2006-04-04,24.34,11.40,SOJA,PR,CEPEA
2006-04-04,26.57,12.45,SOJA,PRG,CEPEA
2006-04-05,13.47,6.31,MILHO,BRASIL,CEPEA
2006-04-05,24.40,11.43,SOJA,PR,CEPEA
2006-04-05,26.60,12.46,SOJA,PRG,CEPEA
2006-04-06,13.43,6.30,MILHO,BRASIL,CEPEA
2006-04-06,24.48,11.49,SOJA,PR,CEPEA
2006-04-06,26.79,12.58,SOJA,PRG,CEPEA
2006-04-07,13.45,6.26,MILHO,BRASIL,CEPEA
2006-04-07,24.53,11.41,SOJA,PR,CEPEA
2006-04-07,26.76,12.45,SOJA,PRG,CEPEA
2006-04-10,13.49,6.26,MILHO,BRASIL,CEPEA
2006-04-10,24.49,11.35,SOJA,PR,CEPEA
2006-04-10,26.74,12.40,SOJA,PRG,CEPEA
2006-04-11,13.89,6.49,MILHO,BRASIL,CEPEA
2006-04-11,24.71,11.55,SOJA,PR,CEPEA
2006-04-11,26.80,12.52,SOJA,PRG,CEPEA
2006-04-12,14.06,6.59,MILHO,BRASIL,CEPEA
2006-04-12,24.73,11.59,SOJA,PR,CEPEA
2006-04-12,26.74,12.54,SOJA,PRG,CEPEA
2006-04-13,14.11,6.60,MILHO,BRASIL,CEPEA
2006-04-13,24.79,11.59,SOJA,PR,CEPEA
2006-04-13,26.82,12.54,SOJA,PRG,CEPEA
2006-04-17,14.30,6.69,MILHO,BRASIL,CEPEA
2006-04-17,25.16,11.78,SOJA,PR,CEPEA
2006-04-17,27.28,12.77,SOJA,PRG,CEPEA
2006-04-18,14.85,7.02,MILHO,BRASIL,CEPEA
2006-04-18,25.18,11.89,SOJA,PR,CEPEA
2006-04-18,27.26,12.88,SOJA,PRG,CEPEA
2006-04-19,15.34,7.25,MILHO,BRASIL,CEPEA
2006-04-19,25.14,11.89,SOJA,PR,CEPEA
2006-04-19,27.10,12.82,SOJA,PRG,CEPEA
2006-04-20,15.28,7.20,MILHO,BRASIL,CEPEA
2006-04-20,25.13,11.85,SOJA,PR,CEPEA
2006-04-20,27.04,12.75,SOJA,PRG,CEPEA
2006-04-24,15.47,7.32,MILHO,BRASIL,CEPEA
2006-04-24,25.17,11.91,SOJA,PR,CEPEA
2006-04-24,27.33,12.93,SOJA,PRG,CEPEA
2006-04-25,15.62,7.34,MILHO,BRASIL,CEPEA
2006-04-25,25.31,11.90,SOJA,PR,CEPEA
2006-04-25,27.44,12.90,SOJA,PRG,CEPEA
2006-04-26,15.61,7.37,MILHO,BRASIL,CEPEA
2006-04-26,25.31,11.95,SOJA,PR,CEPEA
2006-04-26,27.32,12.90,SOJA,PRG,CEPEA
2006-04-27,15.41,7.32,MILHO,BRASIL,CEPEA
2006-04-27,25.13,11.94,SOJA,PR,CEPEA
2006-04-27,27.15,12.90,SOJA,PRG,CEPEA
2006-04-28,15.42,7.39,MILHO,BRASIL,CEPEA
2006-04-28,25.54,12.24,SOJA,PR,CEPEA
